Module,Title,Type,Link
Douleur - Soins palliatifs,ITEM 140 - SOINS PALLIATIFS EN REANIMATION,PDF,https://drive.google.com/file/d/1iwa1RKM6Y1cbu_4J8yAL07TIQura5TF8/view?usp=drivesdk
Douleur - Soins palliatifs,ITEM 135 - DOULEUR EN SANTE MENTALE,PDF,https://drive.google.com/file/d/1Tvzf3AriGYhLkkasip4h1QWu8oJirsuU/view?usp=drivesdk
Douleur - Soins palliatifs,ITEM 139 - SOINS PALLIATIFS EN PEDIATRIE,PDF,https://drive.google.com/file/d/1epvgaJVTYrWvcIluAp6mwcRf2QeA-ZZZ/view?usp=drivesdk
Douleur - Soins palliatifs,ITEM 136 - SOINS PALLIATIFS-CLINIQUE,PDF,https://drive.google.com/file/d/12nYikdsOhqigf4lqzYIgJL5KtFkabeKo/view?usp=drivesdk
Douleur - Soins palliatifs,ITEM 132 - ANTALGIQUE,PDF,https://drive.google.com/file/d/1rcttDxS6rUKajTcjeuVJedemlmfxoEH5/view?usp=drivesdk
Douleur - Soins palliatifs,ITEM 138 - SOINS PALLIATIFS-FIN DE VIE,PDF,https://drive.google.com/file/d/1CdRSqUjmdNk1Wl7PQEwP6M0lwg99Dqlk/view?usp=drivesdk
Douleur - Soins palliatifs,ITEM 137 - SOINS PALLIATIFS-ETHIQUE-LEGAL,PDF,https://drive.google.com/file/d/1DlkvXHbXBIMipICO-0wAQcOgGe9RK5fp/view?usp=drivesdk
Douleur - Soins palliatifs,ITEM 134 - DOULEUR ENFANT_0,PDF,https://drive.google.com/file/d/16eLM3wXPSfGDXhD1ewfF8cocOrrXEqmC/view?usp=drivesdk
Douleur - Soins palliatifs,ITEM 131 - DOULEUR,PDF,https://drive.google.com/file/d/1lyDG_nFV-soavTeqC84GN81rLV6kbOrw/view?usp=drivesdk
MPR,ITEM 115 - HANDICAP,PDF,https://drive.google.com/file/d/1uY34vdPbck6WA6zfxREqftJ9KX1l4H6W/view?usp=drivesdk
MPR,ITEM 116 - COMPLICATION IMMOBILITE,PDF,https://drive.google.com/file/d/1WGkzloe_Pa1Tj3vLx4Vawb3-vfSZodV1/view?usp=drivesdk
MPR,ITEM 118 - REEDUCATION-READAPTATION,PDF,https://drive.google.com/file/d/1i7Ck1uIe1buz1q4RESHpP31k4WgC7DB6/view?usp=drivesdk
MPR,ITEM 324 - CURE THERMALE,PDF,https://drive.google.com/file/d/1AcVdee03elKFfP9SVwu-TxUAE_4pw3Ej/view?usp=drivesdk
MPR,ITEM 117 - HANDICAP MENTAL-PSYCHIQUE_0,PDF,https://drive.google.com/file/d/1HJAaJNMQYL16kUZsXKFAP7S6w0Xa7KRf/view?usp=drivesdk
MPR,ITEM 324 - APPAREILLAGE-AIDES TECHNIQUES,PDF,https://drive.google.com/file/d/1oU1SDOAzKjVKACunrUaqHoqxK9hJkayL/view?usp=drivesdk
Hématologie,ITEM 315 - LEUCEMIE LYMPHOIDE CHRONIQUE,PDF,https://drive.google.com/file/d/1pWhO0LwW6ehDIBE_JVcd__bj-9Yem7N-/view?usp=drivesdk
Hématologie,ITEM 316 - LYMPHOME,PDF,https://drive.google.com/file/d/1RhQLdY6tGBlSIkB1w_vkBHqYhSX9E9_T/view?usp=drivesdk
Hématologie,ITEM 314 - SYNDROME MYELOPROLIFERATIF,PDF,https://drive.google.com/file/d/1q6o0bZeunQMa3KIsNALYHAOW6844KO6e/view?usp=drivesdk
Hématologie,ITEM 325 - TRANSFUSION,PDF,https://drive.google.com/file/d/1FNDgmSDioYp1dY9h39ZJdsQUFFzI7jqa/view?usp=drivesdk
Hématologie,ITEM 317 - MYELOME MULTIPLE,PDF,https://drive.google.com/file/d/1u4LheNeW2U8w-Djcp234TsOklERY-QS6/view?usp=drivesdk
Hématologie,ITEM 313 - SYNDROME MYELODYSPLASIQUE,PDF,https://drive.google.com/file/d/1kTAjLR6JGtmHwExMhehAt1Q-yr3rbNc9/view?usp=drivesdk
Hématologie,ITEM 312 - LEUCEMIE AIGUE,PDF,https://drive.google.com/file/d/17l8iFYWYXBW8-VhRkiSvXQdxY4jzq9oB/view?usp=drivesdk
Hématologie,ITEM 293 - AGRANULOCYTOSE,PDF,https://drive.google.com/file/d/1G3V5Kq64WpDPzxT4MZrMZAWeGJ3RVMGU/view?usp=drivesdk
Hématologie,ITEM 291 - TTT HEMOPATHIE MALIGNE,PDF,https://drive.google.com/file/d/1URD9TNkZHkXO9jtrhqeIvftfvxKu6Oir/view?usp=drivesdk
Hématologie,ITEM 210 - THROMBOPENIE,PDF,https://drive.google.com/file/d/1CHfJ6M0_BHCPJZc81FtFqLC9b9LqP9Iw/view?usp=drivesdk
Hématologie,ITEM 272 - SPLENOMEGALIE,PDF,https://drive.google.com/file/d/1ci_hreUSiaGDn7dtbnT2HIa2RP9LJDHR/view?usp=drivesdk
Hématologie,ITEM 208 - HEMOGRAMME,PDF,https://drive.google.com/file/d/1maivyubgCwzLZ6hqIWmNWmCBqMpabchZ/view?usp=drivesdk
Hématologie,ITEM 209 - ANEMIE,PDF,https://drive.google.com/file/d/11VUkPur7mimcPFV3EAS7MIbi2RVHKCOY/view?usp=drivesdk
Hématologie,ITEM 212 - SYNDROME HEMORRAGIQUE,PDF,https://drive.google.com/file/d/1EZfa0d8xtcud5iFJdrQPUxVsZq-hoqrL/view?usp=drivesdk
Hématologie,ITEM 213 - SYNDROME MONONUCLEOSIQUE,PDF,https://drive.google.com/file/d/1LBIm6ngdpSA55veab6jASlaFqBAskPG_/view?usp=drivesdk
Hématologie,ITEM 198 - GREFFE CELLULES SOUCHES,PDF,https://drive.google.com/file/d/1O5L58VdO6HGAsU6f7dPq-DSM9GxVC2Ag/view?usp=drivesdk
Médecine du travail,ITEM 180 - ACCIDENT TRAVAIL-MALADIE PROFESSIONNELLE,PDF,https://drive.google.com/file/d/1Lo9S1P_gldFwLQfBusR0HgDNdd-ZjdVS/view?usp=drivesdk
Médecine du travail,ITEM 178 - RISQUES PROFESSIONNELS,PDF,https://drive.google.com/file/d/12zgk9JidC8nid1OZLl1MSLiboJGyGknB/view?usp=drivesdk
